小区名字,小区区位,小区位置,小区建成年代,二手房均价,二手房数量,90天成交量,出租二手房数量,标签,小区二手房链接
澜茵华庭,嘉定,江桥,2005,44935,12,90天成交0套,2套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000009869/
绿地新江桥城三期,嘉定,江桥,2011,40540,8,90天成交0套,3套正在出租,,https://sh.lianjia.com/ershoufang/c5011102208191/
中房公寓,嘉定,江桥,2005,40459,16,90天成交0套,3套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000013628/
水岸金桥苑,嘉定,江桥,2008,41758,17,90天成交0套,3套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000012632/
江桥二村,嘉定,江桥,1993,35955,34,90天成交0套,14套正在出租,,https://sh.lianjia.com/ershoufang/c5011000018319/
金鹤新城双佳翠庭,嘉定,江桥,2007,40955,30,90天成交0套,4套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000013217/
华江景城,嘉定,江桥,2009,42811,8,90天成交0套,2套正在出租,,https://sh.lianjia.com/ershoufang/c5011000013444/
中星海上名豪苑(四期),嘉定,江桥,2014,45448,15,90天成交0套,4套正在出租,,https://sh.lianjia.com/ershoufang/c5011000000652/
富友嘉园,嘉定,江桥,2004,36264,12,90天成交0套,10套正在出租,,https://sh.lianjia.com/ershoufang/c5011000013874/
万达城市公寓,嘉定,江桥,2010,50231,13,90天成交0套,4套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000011372/
大宅风范城,嘉定,江桥,2007,42603,10,90天成交0套,3套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000013470/
金鹤新城城杰苑,嘉定,江桥,2008,41285,13,90天成交0套,6套正在出租,,https://sh.lianjia.com/ershoufang/c5011000003455/
水岸秀苑,嘉定,江桥,2005,41285,12,90天成交0套,5套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000013981/
金沙鼎苑,嘉定,江桥,2012,37822,17,90天成交0套,3套正在出租,,https://sh.lianjia.com/ershoufang/c5011000000586/
缘圆宝邸,嘉定,江桥,2008,47548,10,90天成交0套,2套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000016546/
宁兴上尚湾,嘉定,江桥,2013,48533,9,90天成交0套,4套正在出租,,https://sh.lianjia.com/ershoufang/c5011000005426/
江桥三村九街坊,嘉定,江桥,1995,,0,90天成交0套,0套正在出租,,https://sh.lianjia.com/ershoufang/c509821540319485/
盐湖新居,嘉定,江桥,2010,39494,5,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011000013109/
嘉城新航域,嘉定,江桥,1994,39389,18,90天成交0套,7套正在出租,,https://sh.lianjia.com/ershoufang/c5011000013540/
中星海兰苑,嘉定,江桥,2008,37387,7,90天成交0套,6套正在出租,,https://sh.lianjia.com/ershoufang/c5011000012004/
万达广场(嘉定),嘉定,江桥,2010,22623,47,90天成交0套,44套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000013460/
中虹华苑,嘉定,江桥,2006,41281,9,90天成交0套,0套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000002933/
嘉旺苑,嘉定,江桥,2006,36491,5,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011000012672/
金霞苑,嘉定,江桥,2008,42326,6,90天成交0套,2套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000003129/
天禧嘉苑,嘉定,江桥,2011,,0,90天成交0套,0套正在出租,,https://sh.lianjia.com/ershoufang/c5011000003335/
爱德佳苑(一期),嘉定,江桥,2010,39039,0,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011000012845/
华江路121弄,嘉定,江桥,1994,37862,0,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011000018536/
中星海上名豪苑(三期),嘉定,江桥,2012,41851,4,90天成交0套,5套正在出租,,https://sh.lianjia.com/ershoufang/c5011000000695/
嘉城雅颂湾,嘉定,江桥,2008,39814,5,90天成交0套,7套正在出租,,https://sh.lianjia.com/ershoufang/c5011000012354/
泰辰复兴苑,嘉定,江桥,2006,39678,1,90天成交0套,1套正在出租,近地铁13号线金运路站,https://sh.lianjia.com/ershoufang/c5011000011170/
嘉城幸福港,嘉定,江桥,2005,,0,90天成交0套,4套正在出租,,https://sh.lianjia.com/ershoufang/c5011000003515/
江桥一村,嘉定,江桥,1985,35182,6,90天成交0套,2套正在出租,,https://sh.lianjia.com/ershoufang/c5011000014535/
金帝城市岸泊(公寓),嘉定,江桥,2005,,0,90天成交0套,5套正在出租,,https://sh.lianjia.com/ershoufang/c5011000012946/
汇丰沁苑,嘉定,江桥,2006,40897,6,90天成交0套,6套正在出租,,https://sh.lianjia.com/ershoufang/c5011000014417/
恒嘉花园,嘉定,江桥,1994,35587,16,90天成交0套,5套正在出租,,https://sh.lianjia.com/ershoufang/c5011000014367/
曹江公寓,嘉定,江桥,2006,,0,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011000014597/
嘉城桃花岛(公寓),嘉定,江桥,2006,,0,90天成交0套,3套正在出租,,https://sh.lianjia.com/ershoufang/c5011000004645/
嘉城香馥湾,嘉定,江桥,2010,57191,8,90天成交0套,8套正在出租,,https://sh.lianjia.com/ershoufang/c5011000011521/
中星海上名豪苑(一期),嘉定,江桥,2011,46727,4,90天成交0套,5套正在出租,,https://sh.lianjia.com/ershoufang/c5011000003355/
锦华茗园,嘉定,江桥,2006,40696,6,90天成交0套,4套正在出租,,https://sh.lianjia.com/ershoufang/c5011000013663/
爱德佳苑(三期),嘉定,江桥,2013,35621,0,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011102208153/
爱德佳苑(二期),嘉定,江桥,2012,35421,3,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011102210182/
江桥佳苑,嘉定,江桥,2012,,0,90天成交0套,4套正在出租,,https://sh.lianjia.com/ershoufang/c5011000001685/
中星海上名豪苑(二期),嘉定,江桥,2004,,3,90天成交0套,2套正在出租,,https://sh.lianjia.com/ershoufang/c5011000004737/
天际蓝桥,嘉定,江桥,2010,44155,4,90天成交0套,6套正在出租,,https://sh.lianjia.com/ershoufang/c5011000012086/
江桥三村四街坊,嘉定,江桥,2004,,0,90天成交0套,0套正在出租,,https://sh.lianjia.com/ershoufang/c509821540319482/
婉江新苑,嘉定,江桥,2005,36496,1,90天成交0套,0套正在出租,,https://sh.lianjia.com/ershoufang/c509821540319487/
丰华苑,嘉定,江桥,2005,,0,90天成交0套,2套正在出租,近地铁13号线金沙江西路站,https://sh.lianjia.com/ershoufang/c5011000012511/
嘉城桃花岛(别墅),嘉定,江桥,2006,,0,90天成交0套,3套正在出租,,https://sh.lianjia.com/ershoufang/c5011000014983/
华江一村,嘉定,江桥,1995,36056,8,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c5011000009994/
永和生活广场,嘉定,江桥,2008,20320,7,90天成交0套,0套正在出租,,https://sh.lianjia.com/ershoufang/c5011000013275/
丽江佳苑,嘉定,江桥,2011,35586,3,90天成交0套,2套正在出租,,https://sh.lianjia.com/ershoufang/c5011000012102/
金华新村,嘉定,江桥,1994,,0,90天成交0套,2套正在出租,,https://sh.lianjia.com/ershoufang/c5011000004305/
申江花苑,嘉定,江桥,1995,33158,2,90天成交0套,2套正在出租,,https://sh.lianjia.com/ershoufang/c5011000011024/
MAX未来,嘉定,江桥,2015,30963,35,90天成交0套,18套正在出租,近地铁11号线(嘉定北-迪士尼)桃浦新村站,https://sh.lianjia.com/ershoufang/c5011000000153/
江桥三村五街坊,嘉定,江桥,1995,34399,2,90天成交0套,1套正在出租,,https://sh.lianjia.com/ershoufang/c509821540319483/
江桥三村,嘉定,江桥,1995,34913,1,90天成交0套,1套正在出租,近地铁11号线(嘉定北-迪士尼)武威路站,https://sh.lianjia.com/ershoufang/c5011000005610/
金帝城市岸泊(别墅),嘉定,江桥,2004,,0,90天成交0套,0套正在出租,,https://sh.lianjia.com/ershoufang/c5011000002446/
翔黄雅苑,嘉定,江桥,2011,,0,90天成交0套,0套正在出租,,https://sh.lianjia.com/ershoufang/c5011102208868/
嘉城爱琴海,嘉定,江桥,2006,,0,90天成交0套,3套正在出租,,https://sh.lianjia.com/ershoufang/c5011000011385/
